benchmark,run,result
hanoi,lvn_algebraic_identity,99
hanoi,lvn_all,99
loopfact,baseline,116
loopfact,lvn,116
loopfact,lvn_commutative,116
loopfact,lvn_constant_folding,116
loopfact,lvn_algebraic_identity,116
loopfact,lvn_all,116
sum-sq-diff,baseline,3038
sum-sq-diff,lvn,3038
sum-sq-diff,lvn_commutative,3038
sum-sq-diff,lvn_constant_folding,3038
sum-sq-diff,lvn_algebraic_identity,3038
sum-sq-diff,lvn_all,3038
factors,baseline,72
factors,lvn,72
factors,lvn_commutative,72
factors,lvn_constant_folding,72
factors,lvn_algebraic_identity,72
factors,lvn_all,72
birthday,baseline,484
birthday,lvn,484
birthday,lvn_commutative,484
birthday,lvn_constant_folding,484
birthday,lvn_algebraic_identity,484
birthday,lvn_all,484
recfact,baseline,104
recfact,lvn,104
recfact,lvn_commutative,104
recfact,lvn_constant_folding,104
recfact,lvn_algebraic_identity,104
recfact,lvn_all,104
bitwise-ops,baseline,1690
bitwise-ops,lvn,1690
bitwise-ops,lvn_commutative,1690
bitwise-ops,lvn_constant_folding,1690
bitwise-ops,lvn_algebraic_identity,1690
bitwise-ops,lvn_all,1690
pascals-row,baseline,146
pascals-row,lvn,146
pascals-row,lvn_commutative,146
pascals-row,lvn_constant_folding,146
pascals-row,lvn_algebraic_identity,146
pascals-row,lvn_all,146
bitshift,baseline,167
bitshift,lvn,167
bitshift,lvn_commutative,167
bitshift,lvn_constant_folding,167
bitshift,lvn_algebraic_identity,167
bitshift,lvn_all,167
fizz-buzz,baseline,3652
fizz-buzz,lvn,3652
fizz-buzz,lvn_commutative,3652
fizz-buzz,lvn_constant_folding,3652
fizz-buzz,lvn_algebraic_identity,3652
fizz-buzz,lvn_all,3652
mod_inv,baseline,558
mod_inv,lvn,558
mod_inv,lvn_commutative,558
mod_inv,lvn_constant_folding,558
mod_inv,lvn_algebraic_identity,558
mod_inv,lvn_all,558
rectangles-area-difference,baseline,14
rectangles-area-difference,lvn,14
rectangles-area-difference,lvn_commutative,14
rectangles-area-difference,lvn_constant_folding,14
rectangles-area-difference,lvn_algebraic_identity,14
rectangles-area-difference,lvn_all,14
euclid,baseline,563
euclid,lvn,563
euclid,lvn_commutative,563
euclid,lvn_constant_folding,563
euclid,lvn_algebraic_identity,563
euclid,lvn_all,563
